"title","start_time","end_time","description","exercise_title","superset_id","exercise_notes","set_index","set_type","weight_lbs","reps","distance_miles","duration_seconds","rpe"
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Butterfly (Pec Deck)",,"",0,"failure",100,8,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Butterfly (Pec Deck)",,"",1,"failure",120,2,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Butterfly (Pec Deck)",,"",2,"failure",100,1,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Rear Delt Reverse Fly (Machine)",,"",0,"failure",80,8,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Rear Delt Reverse Fly (Machine)",,"",1,"failure",80,7,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Triceps Pushdown",,"",0,"failure",40,8,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Triceps Pushdown",,"",1,"failure",45,5,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Seated Overhead Press (Barbell)",,"",0,"failure",95,3,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Seated Overhead Press (Barbell)",,"",1,"failure",65,8,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Seated Overhead Press (Barbell)",,"",2,"failure",75,5,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Meow Meow",,"",0,"failure",30,8,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Meow Meow",,"",1,"failure",45,12,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Bicep Curl (Cable)",,"",0,"failure",40,9,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Bicep Curl (Cable)",,"",1,"failure",40,8,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Lat Pulldown (Cable)",,"",0,"warmup",115,8,,,
"Upper","Apr 11, 2026, 3:27 PM","Apr 11, 2026, 4:23 PM","","Lat Pulldown (Cable)",,"",1,"failure",130,7,,,
"Legs/ lower","Apr 10, 2026, 8:22 PM","Apr 10, 2026, 9:22 PM","","Leg Extension (Machine)",,"",0,"normal",140,8,,,
"Legs/ lower","Apr 10, 2026, 8:22 PM","Apr 10, 2026, 9:22 PM","","Leg Extension (Machine)",,"",1,"normal",125,8,,,
"Legs/ lower","Apr 10, 2026, 8:22 PM","Apr 10, 2026, 9:22 PM","","Standing Calf Raise (Machine)",,"",0,"normal",270,6,,,
"Legs/ lower","Apr 10, 2026, 8:22 PM","Apr 10, 2026, 9:22 PM","","Standing Calf Raise (Machine)",,"",1,"failure",180,6,,,
"Legs/ lower","Apr 10, 2026, 8:22 PM","Apr 10, 2026, 9:22 PM","","Back Extension (Weighted Hyperextension)",,"",0,"failure",50,10,,,
"Legs/ lower","Apr 10, 2026, 8:22 PM","Apr 10, 2026, 9:22 PM","","Back Extension (Weighted Hyperextension)",,"",1,"failure",60,11,,,
"Legs/ lower","Apr 10, 2026, 8:22 PM","Apr 10, 2026, 9:22 PM","","Hack Squat (Machine)",,"",0,"warmup",125,6,,,
"Legs/ lower","Apr 10, 2026, 8:22 PM","Apr 10, 2026, 9:22 PM","","Hack Squat (Machine)",,"",1,"failure",105,10,,,
"PPL - (Pull)","Apr 9, 2026, 2:53 PM","Apr 9, 2026, 3:29 PM","","Lat Pulldown (Machine)",,"",0,"failure",110,7,,,
"PPL - (Pull)","Apr 9, 2026, 2:53 PM","Apr 9, 2026, 3:29 PM","","Lat Pulldown (Machine)",,"",1,"failure",110,8,,,
"PPL - (Pull)","Apr 9, 2026, 2:53 PM","Apr 9, 2026, 3:29 PM","","Seated Row (Machine)",,"",0,"failure",100,8,,,
"PPL - (Pull)","Apr 9, 2026, 2:53 PM","Apr 9, 2026, 3:29 PM","","Seated Row (Machine)",,"",1,"failure",100,9,,,
